first_name,last_name,grade,gpa,gender,date_of_birth
RiDepi,cxvyuNpBDP,7,3.3,M,23/6/2006
PtTe,dE,8,0.85,M,9/12/2011
DbrSvAcCtD,UgCNW,8,2.11,M,28/8/1997
vLWqCnhfL,pe,11,3.04,F,28/5/1998
OGboJgo,khYPOkJ,7,2.21,M,3/1/2013
bnTYawQo,ft,1,1.66,F,3/4/2004
Mj,MFpn,7,1.65,F,24/4/2004
qJdoUWix,UOVcFLL,8,1.1,M,7/7/2014
UwltQdLGSb,SoiKX,12,2.31,M,11/2/2014
CCLGgY,IWmgqUJFMZ,4,1.47,F,7/6/1996
FYao,eHsPIjzTDH,5,3.61,F,19/8/2009
vQIIGetEJm,oWckAMhQy,8,3.74,M,3/1/2010
tgXSJsG,qa,6,0.94,F,8/5/1998
hp,XUtAcgp,9,1.82,F,11/8/1997
MHcAqdGeU,bfHDwsFOap,2,3.86,M,14/3/2008
GC,UlLXC,10,1.84,F,21/7/2008
jttSciQM,ZtUQv,9,2.46,F,21/2/2004
ZwmYTcma,xfXDWefXJf,3,0.47,F,25/9/2013
OmQga,AQ,2,1.12,F,21/4/2004
ld,QXQb,4,3.05,F,2/4/2000
imgOvp,OjF,9,2.9,F,23/8/2011
DgcauKTM,oCH,12,0.75,M,5/8/1998
GJeCjGMz,HC,4,2.09,M,18/1/2011
CPplGbcAZ,YRDkO,11,3.45,F,16/7/1995
qVmztA,tVfRUCeqh,7,0.96,F,5/10/1997
fiTYgg,Rv,8,0.91,M,25/1/1998
rqR,JIemyrwIl,2,1.22,M,14/11/2008
qtWTBhQwqL,TJUofbbrjN,5,1.88,F,26/2/2003
LgKhGNXktw,qjQXdR,11,3.43,F,1/7/2004
ybdveFHaMq,WwxQphaqDj,5,2.9,M,1/11/2001
Wm,MD,7,3.97,F,10/9/2013
OEQBioVpE,kPO,8,3.15,F,12/9/2006
jJFSLmR,TiGT,12,1.71,F,28/3/2012
InV,OoPnczv,1,1.29,F,13/10/1998
Taw,ED,2,1.34,F,11/8/1995
FO,ogJD,11,0.63,F,1/9/2014
ClwbLJFZuO,BZSN,7,2.25,M,6/3/2007
ViM,aJfbvYAP,1,2.44,M,13/12/1999
hniuMb,yX,12,1.29,M,25/6/2008
qChEE,nhULIuLH,9,2.08,F,19/9/2003
XlvUksWvBh,htazuI,7,1.37,M,22/2/2006
EiKaN,TriDe,10,1.32,M,24/8/2015
DUJapeNf,ckQMG,9,1.18,F,6/9/2011
gpMQOrXCOg,JArirmTiC,11,2.17,M,25/3/2000
Ob,qFOqr,2,3.25,M,16/3/2012
aqOEo,jhZyboaa,9,2.07,M,11/10/2006
nFMsILzjPd,OXzvYO,2,2.81,M,1/6/1998
ZrQzbibbqz,AVMB,4,1.23,F,12/5/2014
nu,vlFAJUJ,12,3.8,M,28/3/2011
GjXPI,vIsVr,5,0.97,F,9/12/2012
ilQozQl,khYV,2,3.89,F,10/3/2003
hUizOSzI,CsgDwAwfxw,9,1.78,M,25/6/2005
lxoSkNe,qkrK,10,2.13,F,18/4/2007
zOIOrZnRqe,ydA,11,1.36,M,13/4/2008
uODbPvJ,jZsmwL,5,0.44,M,25/12/1998
kCrGlavmJX,UrL,12,3.23,M,15/2/1995
iqzDFWVvxj,wNEgTdAw,11,3.35,M,25/12/2006
jagCEsWuDU,BeHzgWtJY,5,3.82,M,22/10/2014
vxrfoDVTmO,uGp,5,1.28,F,2/3/2004
ImJI,BBOxvr,4,2.22,F,20/3/2010
tBfFFynM,XK,8,1.61,F,22/12/1995
vI,igYURP,3,1.95,F,20/11/2013
