first_name,last_name,grade,gpa,gender,date_of_birth
,123,20,abc,X,31/02/2020
CCdfTTIwXR,APGYGlYXyB,9,3.5,M,20/5/2014
BXv,nYTBDbkI,2,2.49,M,12/9/2007
Ml,Xz,3,2.88,F,23/2/2007
hz,axqLOpF,7,1.26,M,8/4/1997
Dta,Tr,9,2.28,F,28/11/2014
eMojlJOE,gJaQn,9,2.47,F,3/11/2004
HQHnnyCQ,DxFzSo,11,0.48,M,25/7/1997
hCFpK,sAZu,2,1.98,F,1/12/2015
smU,GUFQp,7,0.06,F,7/10/2008
,123,20,abc,X,31/02/2020
sWxdvr,EOnBu,10,0.94,F,6/8/1998
gkRhTk,ncxGhIoF,11,2.24,M,16/5/2014
che,iwkFFu,4,3.97,M,20/9/2001
mixRRtLzCU,co,8,3.28,F,28/9/1997
JdvHVJIc,PagnekoiJF,3,3.19,M,18/8/2007
KkF,aVJbQtd,8,2.74,M,21/6/2008
prBJHUqwy,toFgV,11,1.73,F,18/5/1998
kCVHInakF,rRbMN,9,0.39,M,18/12/2000
rMeQlTPY,XpXBUeND,7,2.68,F,18/4/2008
,123,20,abc,X,31/02/2020
Yaf,GL,1,2.02,M,4/1/2002
jAZbvPfJ,lHqcxquQ,1,2.23,M,9/11/2009
iWVko,JGYKJalYFz,8,2.03,M,23/11/2012
rwtcbiC,CRPIF,12,3.72,F,28/3/1997
yJZ,zYSP,1,2.87,F,13/5/2002
UqNArpIG,XaR,8,1.66,M,16/10/2004
jHk,SMlR,11,1.32,F,20/1/2002
ruIgjiGGi,Yj,2,2.9,F,28/10/2001
nnb,cdcwhL,11,1.03,F,22/11/1999
,123,20,abc,X,31/02/2020
hDCpDPhWl,vSTQ,11,2.81,F,10/11/2003
hYDLQeFop,wQxXk,2,2.71,M,21/7/2009
aaHbWea,SpshZAJkC,10,0.1,M,10/7/2014
SXfaDKfGXW,mVuCtS,10,2.04,F,16/9/2008
YAMEHUTH,DCdVq,8,1.04,F,4/11/2002
xksUeJVjIQ,JPVpDOMxX,1,0.2,M,17/10/2001
QuwKC,Yiar,12,0.88,F,8/10/2000
Fd,kZtioMcQ,8,3.22,F,26/6/2015
BJFIq,DnwS,2,2.8,M,3/7/2008
,123,20,abc,X,31/02/2020
Ppuyi,HzMmGntgEg,6,0.26,M,11/5/2002
HxpnZSD,vDRRD,12,3.97,F,25/5/2011
XX,pfUjkEz,9,1.91,M,15/4/2009
rt,TJcXgT,8,1.74,F,21/11/2007
VzK,TOyUjYe,4,1.15,F,24/11/2006
dekxtoJjg,AAdHSEkyqE,6,2.6,M,24/9/2002
skVI,UeKFSBuROc,6,3.91,M,13/7/2009
bKpnHk,KCWaR,5,1.25,F,5/6/2014
dDJA,ZhGiaqIr,4,0.03,F,26/12/2011
,123,20,abc,X,31/02/2020
WJPPUirW,gsNNCTIVG,4,2.72,F,19/5/1995
UbH,mvSL,1,1.29,M,12/6/2006
VcLQLItNGt,ILQBbUyN,10,0.95,M,6/9/2010
SRRyaVX,lpXMdoGep,7,2.69,M,24/8/1995
LcqLCRWCB,lxOwalNJ,7,0.81,F,7/3/1999
qzRA,mQvUVbZH,11,3.82,F,10/7/1999
tJ,iAutnLrtnr,4,0.52,F,14/11/2005
Zu,UMQ,6,3.07,M,24/2/2006
stuW,rEuf,12,2.58,F,19/2/2010
,123,20,abc,X,31/02/2020
dOB,WpXpO,3,2.08,M,3/3/1997
mNmnm,gwhlp,3,3.38,M,4/2/1998
Aab,rvxJJcUGU,4,0.93,M,14/5/2008
bOpCKK,owff,3,2.23,F,2/5/2000
CsMZ,eJ,3,0.34,F,7/9/2001
SDWgKCU,kGPt,10,2.42,F,13/9/2007
Vc,PylYcNMvTY,5,2.55,F,22/10/2002
BuhGe,ZdWCjK,10,2.97,F,5/5/2014
tGwYZbeE,AG,11,3.37,F,8/4/2014
,123,20,abc,X,31/02/2020
DTFpbb,OyGYj,6,2.28,F,17/5/1998
NTwy,HZpITUyA,2,3.3,M,15/6/2005
tU,ZHGnHZGaV,4,0.51,F,12/6/2008
ecvFEvy,ZJkTlTG,7,3.91,F,22/7/1998
ZUkDvIjp,SSZf,10,0.35,F,16/3/2010
PsXyzJqM,hU,12,3.93,F,26/5/2013
bzl,nlkoER,7,3.54,F,25/12/2015
mqpCR,Cy,10,2.39,F,14/11/2011
LPcR,hhpUy,4,0.03,M,8/2/2015
,123,20,abc,X,31/02/2020
JkivDjH,Fh,12,1.13,F,14/1/2012
gC,JCe,4,0.78,F,17/2/2004
TBfdThfHv,sKiv,8,0.61,F,28/4/2014
lJMhuO,YOKHxGEawP,1,1.4,M,7/3/1995
AB,IsVpOEkcJ,12,3.21,M,6/2/2000
sBuMjrTnBB,LDYWC,3,1.24,M,2/5/2013
tuxP,APbv,10,2.97,M,14/2/2005
SXfSIrDXV,MvLnhL,1,1.81,F,21/3/2009
arZlGzZo,VWTDadfrQ,1,0.69,M,17/7/1998
,123,20,abc,X,31/02/2020
bVQeZlnqEO,UfLkzqXnEh,8,2.58,F,19/10/2009
agGyHSgDw,WRag,11,1.37,F,7/11/2002
tyaBbgx,DsoJHye,10,3.85,F,15/11/2005
IxoZEfmwY,vHZE,3,0.89,M,16/5/2003
ofgQ,UwvBBY,11,0.88,M,25/1/2002
MNun,XCbcyVtqJ,7,3.11,M,17/3/2015
xa,aWuv,8,0.41,F,3/9/2002
Yruq,BMnBR,11,0.18,F,3/6/2000
PNul,VuTwWoQ,9,0.77,F,17/5/2004
,123,20,abc,X,31/02/2020
aERAJcKYn,OCVPnpSOW,3,0.37,F,24/7/2010
VqUG,QTBMckK,9,0.28,F,18/12/2007
teXLv,jcjSFImNu,4,2.46,F,25/2/2001
hW,MgaEW,8,2.64,F,3/12/2013
FjtdN,YatgZCqwX,2,0.96,F,14/12/2015
